node1,node2,radius
[0.842105 5.431579],[0.847368 5.431579],0.010526315789473684
[2.221053 1.273684],[2.221053 1.278947],0.009606004052297066
[5.231579 4.252632],[5.236842 4.252632],0.02201512187562354
[6.294737 6.268421],[6.300000 6.268421],0.01621652015833784
[4.810526 3.131579],[4.810526 3.136842],0.02758995873875602
[4.389474 5.210526],[4.389474 5.215789],0.02033857079232013
[2.963158 0.736842],[2.963158 0.742105],0.021052631578947368
[4.426316 1.842105],[4.431579 1.842105],0.021052631578947368
[2.378947 2.126316],[2.384211 2.126316],0.029516096584157377
[4.542105 4.810526],[4.547368 4.810526],0.011147547309209973
[5.578947 5.278947],[5.578947 5.284211],0.020014608619642077
[4.078947 3.915789],[4.078947 3.921053],0.031578947368421054
[5.810526 0.878947],[5.810526 0.884211],0.021052631578947368
[5.363158 0.847368],[5.368421 0.847368],0.01621652015833784
[3.221053 3.726316],[3.226316 3.726316],0.0317367854919085
[5.184211 5.673684],[5.189474 5.673684],0.022619056791098
[0.989474 0.031579],[0.994737 0.031579],0.010526315789473684
[6.189474 2.421053],[6.194737 2.421053],0.02033857079232013
[0.015789 2.036842],[0.015789 2.042105],0.028502504986435
[0.626316 4.015789],[0.626316 4.021053],0.01781007614640097
[2.400000 1.805263],[2.405263 1.805263],0.021052631578947368
[4.021053 0.063158],[4.021053 0.068421],0.010526315789473684
[5.021053 1.900000],[5.026316 1.900000],0.020014608619642077
[0.052632 3.621053],[0.052632 3.626316],0.021052631578947368
[4.189474 0.400000],[4.194737 0.400000],0.018976585660336786
[1.826316 3.984211],[1.826316 3.989474],0.02631578947368421
[5.768421 1.163158],[5.773684 1.163158],0.005263157894736842
[2.157895 5.663158],[2.157895 5.668421],0.010526315789473684
[5.636842 4.631579],[5.642105 4.631579],0.01621652015833784
[2.210526 3.857895],[2.215789 3.857895],0.005263157894736842
[4.457895 2.289474],[4.457895 2.294737],0.021052631578947368
[4.473684 2.600000],[4.473684 2.605263],0.021052631578947368
[0.247368 2.710526],[0.252632 2.710526],0.015337966117753132
[5.015789 5.694737],[5.021053 5.694737],0.01781007614640097
[4.021053 0.073684],[4.021053 0.078947],0.010526315789473684
[5.952632 6.315789],[5.957895 6.315789],0.015789473684210527
[4.357895 0.815789],[4.363158 0.815789],0.024926673565788367
[5.331579 4.305263],[5.331579 4.310526],0.015789473684210527
[1.421053 6.352632],[1.426316 6.352632],0.01621652015833784
[1.631579 6.163158],[1.631579 6.168421],0.03769467641674547
[5.036842 0.021053],[5.036842 0.026316],0.018976585660336786
[5.231579 6.068421],[5.231579 6.073684],0.024926673565788367
[5.910526 0.026316],[5.910526 0.031579],0.01781007614640097
[1.752632 4.100000],[1.757895 4.100000],0.033493893573077915
[4.773684 0.515789],[4.778947 0.515789],0.01781007614640097
[1.142105 5.921053],[1.142105 5.926316],0.031578947368421054
[2.089474 3.010526],[2.089474 3.015789],0.022619056791098
[2.026316 2.847368],[2.026316 2.852632],0.02732938107140659
[2.073684 2.431579],[2.073684 2.436842],0.010526315789473684
[3.910526 3.847368],[3.910526 3.852632],0.021052631578947368
[1.973684 5.410526],[1.978947 5.410526],0.021052631578947368
[3.136842 4.447368],[3.136842 4.452632],0.024268750366343274
[3.310526 4.805263],[3.315789 4.805263],0.01621652015833784
[1.878947 4.147368],[1.884211 4.147368],0.011147547309209973
[0.252632 0.273684],[0.252632 0.278947],0.011147547309209973
[3.478947 5.852632],[3.478947 5.857895],0.024322738650313903
[1.884211 4.226316],[1.884211 4.231579],0.01781007614640097
[3.600000 1.357895],[3.600000 1.363158],0.02631578947368421
[3.778947 1.447368],[3.784211 1.447368],0.021052631578947368
[4.563158 1.131579],[4.563158 1.136842],0.024926673565788367
[5.873684 0.831579],[5.873684 0.836842],0.007443229275647869
[3.205263 2.152632],[3.205263 2.157895],0.013327618690120998
[3.563158 0.268421],[3.563158 0.273684],0.014886458551295738
[6.121053 2.263158],[6.126316 2.263158],0.011147547309209973
[0.042105 5.600000],[0.042105 5.605263],0.018976585660336786
[4.368421 4.447368],[4.368421 4.452632],0.026576367141033643
[2.994737 2.773684],[3.000000 2.773684],0.015789473684210527
[3.594737 6.010526],[3.594737 6.015789],0.020014608619642077
[2.594737 4.026316],[2.594737 4.031579],0.01621652015833784
[0.168421 1.615789],[0.168421 1.621053],0.015789473684210527
[4.336842 4.300000],[4.342105 4.300000],0.021052631578947368
[1.694737 2.336842],[1.694737 2.342105],0.01781007614640097
[2.394737 1.684211],[2.400000 1.684211],0.015789473684210527
[4.915789 0.094737],[4.915789 0.100000],0.021052631578947368
[5.073684 5.147368],[5.078947 5.147368],0.023537557657892522
[0.884211 1.247368],[0.889474 1.247368],0.008984772532560775
[1.231579 4.547368],[1.236842 4.547368],0.022619056791098
[3.442105 3.805263],[3.442105 3.810526],0.02631578947368421
[2.557895 0.426316],[2.557895 0.431579],0.005263157894736842
[0.978947 1.115789],[0.984211 1.115789],0.021376593751625424
[3.263158 4.205263],[3.263158 4.210526],0.02732938107140659
[5.315789 0.831579],[5.315789 0.836842],0.021376593751625424
[3.105263 0.489474],[3.105263 0.494737],0.021052631578947368
[2.126316 2.500000],[2.126316 2.505263],0.025940265163510747
[3.163158 2.100000],[3.163158 2.105263],0.007894736842105263
[2.052632 4.742105],[2.052632 4.747368],0.021052631578947368
[2.652632 2.278947],[2.652632 2.284211],0.03429673487588455
[2.457895 2.447368],[2.463158 2.447368],0.013327618690120998
[0.331579 3.226316],[0.331579 3.231579],0.021052631578947368
[4.247368 3.468421],[4.252632 3.468421],0.015789473684210527
[3.821053 4.731579],[3.826316 4.731579],0.02631578947368421
[1.805263 1.505263],[1.805263 1.510526],0.021052631578947368
[2.757895 4.378947],[2.763158 4.378947],0.021376593751625424
[2.663158 0.315789],[2.668421 0.315789],0.015789473684210527
[1.615789 4.631579],[1.615789 4.636842],0.01781007614640097
[3.700000 4.036842],[3.705263 4.036842],0.029516096584157377
[0.689474 1.436842],[0.694737 1.436842],0.021052631578947368
[4.152632 0.284211],[4.157895 0.284211],0.021052631578947368
[3.600000 3.278947],[3.600000 3.284211],0.031134083933803423
[1.636842 4.094737],[1.642105 4.094737],0.010526315789473684
[4.647368 3.284211],[4.652632 3.284211],0.010526315789473684
[4.989474 0.563158],[4.989474 0.568421],0.02033857079232013
[2.642105 4.526316],[2.647368 4.526316],0.011147547309209973
[2.521053 3.747368],[2.521053 3.752632],0.021052631578947368
[0.100000 4.310526],[0.105263 4.310526],0.022619056791098
[3.668421 5.336842],[3.668421 5.342105],0.021052631578947368
[4.868421 0.168421],[4.873684 0.168421],0.020653136743640194
[3.994737 1.905263],[3.994737 1.910526],0.030689220499185793
[0.615789 0.668421],[0.615789 0.673684],0.010526315789473684
[0.189474 2.410526],[0.194737 2.410526],0.02758995873875602
[1.978947 3.036842],[1.978947 3.042105],0.031134083933803423
[3.336842 1.389474],[3.342105 1.389474],0.021052631578947368
[1.352632 2.568421],[1.352632 2.573684],0.015337966117753132
[3.126316 1.031579],[3.131579 1.031579],0.033493893573077915
[3.368421 1.921053],[3.373684 1.921053],0.010526315789473684
[5.663158 1.815789],[5.663158 1.821053],0.02033857079232013
[1.863158 5.426316],[1.868421 5.426316],0.015789473684210527
[0.931579 2.152632],[0.931579 2.157895],0.01621652015833784
[3.173684 0.510526],[3.173684 0.515789],0.020653136743640194
[1.752632 0.315789],[1.757895 0.315789],0.021052631578947368
[4.415789 3.463158],[4.421053 3.463158],0.031134083933803423
[1.142105 3.331579],[1.147368 3.331579],0.022933622742418062
[2.400000 3.805263],[2.405263 3.805263],0.015789473684210527
[5.115789 4.336842],[5.121053 4.336842],0.01781007614640097
[0.994737 1.515789],[1.000000 1.515789],0.021052631578947368
[3.873684 2.752632],[3.878947 2.752632],0.021052631578947368
[2.184211 4.936842],[2.184211 4.942105],0.015337966117753132
[3.857895 2.552632],[3.863158 2.552632],0.022619056791098
[2.026316 0.252632],[2.031579 0.252632],0.031134083933803423
[2.242105 2.410526],[2.242105 2.415789],0.024926673565788367
[4.915789 2.000000],[4.921053 2.000000],0.02033857079232013
[5.952632 4.184211],[5.952632 4.189474],0.020014608619642077
[0.726316 1.763158],[0.726316 1.768421],0.011147547309209973
[1.584211 2.252632],[1.589474 2.252632],0.021052631578947368
[3.005263 3.652632],[3.005263 3.657895],0.020014608619642077
[1.205263 3.073684],[1.205263 3.078947],0.01781007614640097
[5.084211 5.473684],[5.089474 5.473684],0.009606004052297066
[3.757895 4.842105],[3.763158 4.842105],0.010526315789473684
[5.647368 4.831579],[5.652632 4.831579],0.015337966117753132
[3.384211 3.847368],[3.384211 3.852632],0.010526315789473684
[1.147368 1.589474],[1.147368 1.594737],0.030689220499185793
[1.394737 4.942105],[1.394737 4.947368],0.022619056791098
[3.015789 2.915789],[3.015789 2.921053],0.021052631578947368
[4.589474 2.763158],[4.594737 2.763158],0.021376593751625424
[1.273684 4.715789],[1.273684 4.721053],0.005263157894736842
[4.210526 3.642105],[4.210526 3.647368],0.015337966117753132
[1.415789 4.442105],[1.421053 4.442105],0.02631578947368421
[0.105263 2.552632],[0.110526 2.552632],0.015789473684210527
[4.642105 4.652632],[4.647368 4.652632],0.028342972669128965
[2.378947 0.578947],[2.378947 0.584211],0.02758995873875602
[2.315789 2.505263],[2.321053 2.505263],0.03219493719020566
[4.800000 0.473684],[4.800000 0.478947],0.022619056791098
[1.347368 3.226316],[1.347368 3.231579],0.021052631578947368
[0.884211 5.163158],[0.889474 5.163158],0.021052631578947368
[2.210526 1.010526],[2.215789 1.010526],0.02732938107140659
[5.157895 4.315789],[5.157895 4.321053],0.01781007614640097
[4.763158 1.905263],[4.768421 1.905263],0.021052631578947368
[2.152632 5.257895],[2.157895 5.257895],0.011147547309209973
[0.510526 0.047368],[0.510526 0.052632],0.010526315789473684
[2.778947 5.521053],[2.784211 5.521053],0.021376593751625424
[6.021053 2.052632],[6.021053 2.057895],0.015789473684210527
[3.878947 4.173684],[3.884211 4.173684],0.020014608619642077
[5.289474 5.994737],[5.294737 5.994737],0.013327618690120998
[1.621053 1.089474],[1.621053 1.094737],0.02033857079232013
[1.289474 4.194737],[1.294737 4.194737],0.021052631578947368
[2.478947 4.131579],[2.484211 4.131579],0.021052631578947368
[4.200000 3.610526],[4.200000 3.615789],0.021052631578947368
[0.526316 5.194737],[0.526316 5.200000],0.011147547309209973
[2.178947 6.231579],[2.178947 6.236842],0.013157894736842105
[2.931579 0.505263],[2.936842 0.505263],0.01621652015833784
[0.278947 6.278947],[0.284211 6.278947],0.015789473684210527
[1.657895 2.263158],[1.663158 2.263158],0.021052631578947368
[0.584211 4.305263],[0.589474 4.305263],0.018976585660336786
[1.821053 2.789474],[1.821053 2.794737],0.011147547309209973
[0.373684 2.578947],[0.373684 2.584211],0.011147547309209973
[0.089474 5.647368],[0.094737 5.647368],0.024322738650313903
[2.336842 5.126316],[2.336842 5.131579],0.015789473684210527
[0.478947 1.268421],[0.484211 1.268421],0.022619056791098
[4.057895 4.863158],[4.057895 4.868421],0.020014608619642077
[0.594737 4.763158],[0.594737 4.768421],0.02894736842105263
[2.489474 5.457895],[2.489474 5.463158],0.006353193585192355
[2.505263 0.631579],[2.505263 0.636842],0.01781007614640097
[0.131579 2.542105],[0.136842 2.542105],0.01621652015833784
[1.463158 4.473684],[1.468421 4.473684],0.02033857079232013
[3.742105 1.742105],[3.742105 1.747368],0.020014608619642077
[5.136842 0.010526],[5.142105 0.010526],0.024322738650313903
[0.705263 0.131579],[0.710526 0.131579],0.021052631578947368
[1.405263 1.568421],[1.410526 1.568421],0.015789473684210527
[1.873684 4.315789],[1.873684 4.321053],0.021052631578947368
[2.452632 3.568421],[2.457895 3.568421],0.015337966117753132
[5.436842 1.615789],[5.436842 1.621053],0.021052631578947368
[2.257895 4.278947],[2.263158 4.278947],0.022619056791098
[0.878947 0.436842],[0.878947 0.442105],0.026576367141033643
[0.268421 2.589474],[0.273684 2.589474],0.02758995873875602
[1.378947 3.147368],[1.384211 3.147368],0.016931522105816263
[2.757895 5.500000],[2.757895 5.505263],0.018976585660336786
[3.894737 5.768421],[3.894737 5.773684],0.015789473684210527
[4.568421 5.394737],[4.568421 5.400000],0.011147547309209973
[2.652632 6.226316],[2.652632 6.231579],0.006353193585192355
[4.152632 2.568421],[4.157895 2.568421],0.01781007614640097
[4.200000 0.889474],[4.205263 0.889474],0.021052631578947368
[3.515789 5.684211],[3.521053 5.684211],0.01781007614640097
[3.510526 5.842105],[3.515789 5.842105],0.025940265163510747
[3.115789 2.047368],[3.121053 2.047368],0.013327618690120998
[1.452632 1.594737],[1.452632 1.600000],0.015789473684210527
[6.078947 5.984211],[6.084211 5.984211],0.020014608619642077
[0.036842 2.642105],[0.042105 2.642105],0.020014608619642077
[0.410526 0.589474],[0.410526 0.594737],0.01781007614640097
[5.768421 0.042105],[5.773684 0.042105],0.01621652015833784
[0.826316 0.673684],[0.826316 0.678947],0.022933622742418062
[1.389474 0.678947],[1.394737 0.678947],0.01621652015833784
[3.621053 4.110526],[3.626316 4.110526],0.021376593751625424
[2.973684 4.863158],[2.978947 4.863158],0.020014608619642077
[2.552632 0.942105],[2.552632 0.947368],0.02732938107140659
[2.852632 4.168421],[2.852632 4.173684],0.015789473684210527
[5.610526 0.784211],[5.610526 0.789474],0.022329687826943605
[1.805263 5.194737],[1.810526 5.194737],0.013327618690120998
[3.494737 3.347368],[3.494737 3.352632],0.015789473684210527
[1.826316 2.800000],[1.826316 2.805263],0.011147547309209973
[0.000000 4.805263],[0.000000 4.810526],0.005263157894736842
[4.757895 5.621053],[4.763158 5.621053],0.024926673565788367
[2.310526 4.652632],[2.315789 4.652632],0.011147547309209973
[5.247368 5.726316],[5.247368 5.731579],0.011147547309209973
[2.442105 5.973684],[2.442105 5.978947],0.026576367141033643
[4.157895 1.352632],[4.163158 1.352632],0.021052631578947368
[2.952632 3.473684],[2.957895 3.473684],0.02033857079232013
[3.236842 2.615789],[3.242105 2.615789],0.021052631578947368
[4.884211 4.078947],[4.889474 4.078947],0.021052631578947368
[4.305263 1.521053],[4.310526 1.521053],0.021052631578947368
[3.363158 6.052632],[3.368421 6.052632],0.01621652015833784
[3.847368 4.615789],[3.847368 4.621053],0.015789473684210527
[4.300000 4.494737],[4.300000 4.500000],0.01781007614640097
[0.084211 0.705263],[0.089474 0.705263],0.01621652015833784
[5.126316 0.015789],[5.131579 0.015789],0.02804435328813784
[4.763158 1.763158],[4.763158 1.768421],0.01781007614640097
[5.900000 6.305263],[5.905263 6.305263],0.01781007614640097
[3.589474 6.384211],[3.594737 6.384211],0.018848099105706263
[5.521053 4.636842],[5.526316 4.636842],0.015789473684210527
[0.784211 1.752632],[0.789474 1.752632],0.02201512187562354
[5.257895 0.826316],[5.257895 0.831579],0.021052631578947368
[5.126316 2.678947],[5.131579 2.678947],0.020014608619642077
[0.500000 3.415789],[0.500000 3.421053],0.011147547309209973
[4.578947 2.626316],[4.584211 2.626316],0.020014608619642077
[0.094737 1.310526],[0.094737 1.315789],0.01621652015833784
[0.789474 2.010526],[0.794737 2.010526],0.018976585660336786
[2.342105 4.300000],[2.347368 4.300000],0.018976585660336786
[0.031579 3.073684],[0.036842 3.073684],0.020014608619642077
[6.310526 1.621053],[6.315789 1.621053],0.021052631578947368
[0.394737 4.121053],[0.400000 4.121053],0.016931522105816263
[3.057895 6.142105],[3.057895 6.147368],0.02033857079232013
[2.052632 4.852632],[2.057895 4.852632],0.02033857079232013
[3.805263 6.347368],[3.810526 6.347368],0.010526315789473684
[0.889474 1.710526],[0.894737 1.710526],0.010526315789473684
[3.015789 0.331579],[3.021053 0.331579],0.021052631578947368
[4.468421 1.842105],[4.473684 1.842105],0.021052631578947368
[2.410526 4.231579],[2.415789 4.231579],0.01781007614640097
[3.036842 6.131579],[3.042105 6.131579],0.015789473684210527
[3.647368 4.363158],[3.652632 4.363158],0.01621652015833784
[2.857895 0.536842],[2.863158 0.536842],0.01781007614640097
[2.489474 1.352632],[2.494737 1.352632],0.02631578947368421
[3.778947 3.400000],[3.784211 3.400000],0.01781007614640097
[1.442105 4.584211],[1.442105 4.589474],0.015789473684210527
[0.052632 4.773684],[0.052632 4.778947],0.016931522105816263
[2.431579 6.300000],[2.436842 6.300000],0.023537557657892522
[2.531579 3.436842],[2.531579 3.442105],0.013327618690120998
[3.342105 4.342105],[3.342105 4.347368],0.01781007614640097
[5.373684 4.878947],[5.373684 4.884211],0.018976585660336786
[2.789474 1.273684],[2.789474 1.278947],0.015765012591880446
[3.094737 4.121053],[3.100000 4.121053],0.015789473684210527
[1.736842 5.421053],[1.736842 5.426316],0.01621652015833784
[2.963158 3.352632],[2.968421 3.352632],0.024926673565788367
[1.047368 2.647368],[1.047368 2.652632],0.01621652015833784
[3.715789 2.026316],[3.715789 2.031579],0.020014608619642077
[3.715789 4.042105],[3.721053 4.042105],0.021376593751625424
[1.131579 4.700000],[1.136842 4.700000],0.015789473684210527
[6.205263 1.005263],[6.210526 1.005263],0.015789473684210527
[0.521053 2.415789],[0.526316 2.415789],0.006353193585192355
[2.468421 2.694737],[2.473684 2.694737],0.015765012591880446
[0.647368 2.163158],[0.652632 2.163158],0.03263980062482329
[3.078947 0.031579],[3.078947 0.036842],0.022619056791098
[5.152632 3.068421],[5.152632 3.073684],0.015789473684210527
[3.105263 4.984211],[3.110526 4.984211],0.021052631578947368
[5.168421 0.636842],[5.168421 0.642105],0.01621652015833784
[4.273684 2.236842],[4.278947 2.236842],0.015789473684210527
[1.836842 3.989474],[1.842105 3.989474],0.021376593751625424
[4.989474 2.673684],[4.994737 2.673684],0.01781007614640097
[2.268421 5.563158],[2.273684 5.563158],0.021376593751625424
[5.784211 1.563158],[5.789474 1.563158],0.015789473684210527
[3.868421 3.084211],[3.868421 3.089474],0.015789473684210527
[2.510526 0.600000],[2.515789 0.600000],0.014206172730705709
[1.936842 0.052632],[1.942105 0.052632],0.021052631578947368
[1.636842 0.900000],[1.636842 0.905263],0.021052631578947368
[1.173684 0.410526],[1.178947 0.410526],0.021376593751625424
[2.521053 3.705263],[2.521053 3.710526],0.03135188006616716
[2.457895 2.368421],[2.457895 2.373684],0.016643566632465155
[5.042105 3.136842],[5.042105 3.142105],0.01621652015833784
[5.989474 2.568421],[5.994737 2.568421],0.021052631578947368
[3.505263 3.142105],[3.505263 3.147368],0.021052631578947368
[5.773684 0.400000],[5.778947 0.400000],0.015789473684210527
[2.694737 5.957895],[2.694737 5.963158],0.010526315789473684
[5.952632 4.168421],[5.952632 4.173684],0.015789473684210527
[3.589474 4.278947],[3.589474 4.284211],0.021052631578947368
[0.589474 1.805263],[0.594737 1.805263],0.022619056791098
[1.352632 1.815789],[1.352632 1.821053],0.022619056791098
[5.089474 3.694737],[5.094737 3.694737],0.021376593751625424
[3.494737 3.842105],[3.494737 3.847368],0.009606004052297066
[2.689474 0.973684],[2.689474 0.978947],0.02631578947368421
[1.252632 1.221053],[1.252632 1.226316],0.020014608619642077
[2.521053 5.652632],[2.521053 5.657895],0.005263157894736842
[2.878947 1.205263],[2.878947 1.210526],0.015765012591880446
[4.926316 5.210526],[4.931579 5.210526],0.02033857079232013
[1.331579 2.047368],[1.331579 2.052632],0.015337966117753132
[3.105263 3.215789],[3.105263 3.221053],0.020014608619642077
[1.152632 3.126316],[1.152632 3.131579],0.015789473684210527
[1.873684 6.305263],[1.873684 6.310526],0.021052631578947368
[3.915789 5.473684],[3.915789 5.478947],0.024008172698993847
[4.747368 2.436842],[4.747368 2.442105],0.010526315789473684
[0.273684 5.568421],[0.278947 5.568421],0.021376593751625424
[3.226316 0.510526],[3.226316 0.515789],0.015789473684210527
[1.442105 1.431579],[1.447368 1.431579],0.011147547309209973
[3.157895 2.747368],[3.163158 2.747368],0.021376593751625424
[2.863158 6.231579],[2.863158 6.236842],0.013327618690120998
[2.210526 3.263158],[2.210526 3.268421],0.024926673565788367
[5.068421 2.863158],[5.068421 2.868421],0.010526315789473684
[5.889474 1.047368],[5.894737 1.047368],0.010526315789473684
[6.142105 6.268421],[6.147368 6.268421],0.020014608619642077
[0.236842 4.847368],[0.236842 4.852632],0.026576367141033643
[0.510526 2.526316],[0.515789 2.526316],0.01621652015833784
[1.584211 5.731579],[1.589474 5.731579],0.021052631578947368
[0.821053 3.331579],[0.821053 3.336842],0.015789473684210527
[0.868421 2.021053],[0.868421 2.026316],0.01781007614640097
[2.726316 0.394737],[2.731579 0.394737],0.02631578947368421
[4.400000 3.921053],[4.405263 3.921053],0.018976585660336786
[0.673684 4.236842],[0.673684 4.242105],0.007894736842105263
[2.763158 1.215789],[2.768421 1.215789],0.015765012591880446
[1.752632 2.773684],[1.752632 2.778947],0.020014608619642077
[3.005263 3.815789],[3.010526 3.815789],0.015789473684210527
[4.552632 2.778947],[4.552632 2.784211],0.037584658849456457
[5.100000 3.221053],[5.100000 3.226316],0.021052631578947368
[2.689474 1.842105],[2.694737 1.842105],0.021052631578947368
[5.015789 5.268421],[5.021053 5.268421],0.020014608619642077
[5.810526 0.842105],[5.810526 0.847368],0.015789473684210527
[2.794737 4.389474],[2.800000 4.389474],0.015789473684210527
[2.394737 4.089474],[2.400000 4.089474],0.008984772532560775
[3.073684 5.726316],[3.073684 5.731579],0.021052631578947368
[3.510526 3.294737],[3.510526 3.300000],0.021052631578947368
[4.147368 3.636842],[4.152632 3.636842],0.021052631578947368
[3.257895 1.763158],[3.263158 1.763158],0.023537557657892522
[4.373684 0.442105],[4.373684 0.447368],0.020014608619642077
[4.942105 5.500000],[4.942105 5.505263],0.020653136743640194
[4.763158 2.236842],[4.763158 2.242105],0.011768778828946261
[5.005263 6.042105],[5.010526 6.042105],0.01781007614640097
[4.752632 5.178947],[4.752632 5.184211],0.01781007614640097
[2.863158 6.226316],[2.863158 6.231579],0.011147547309209973
[3.505263 6.326316],[3.510526 6.326316],0.015789473684210527
[4.226316 3.400000],[4.231579 3.400000],0.021052631578947368
[1.257895 1.868421],[1.263158 1.868421],0.01781007614640097
[5.542105 2.673684],[5.547368 2.673684],0.015789473684210527
[2.752632 2.615789],[2.757895 2.615789],0.015337966117753132
[0.621053 0.105263],[0.621053 0.110526],0.01621652015833784
[4.131579 2.131579],[4.131579 2.136842],0.01781007614640097
[1.700000 0.847368],[1.700000 0.852632],0.015789473684210527
[1.457895 6.073684],[1.457895 6.078947],0.020014608619642077
[5.542105 5.321053],[5.547368 5.321053],0.020014608619642077
[0.694737 1.431579],[0.694737 1.436842],0.021052631578947368
[5.057895 4.000000],[5.057895 4.005263],0.021052631578947368
[0.700000 1.531579],[0.700000 1.536842],0.015789473684210527
[0.131579 2.705263],[0.136842 2.705263],0.021052631578947368
[0.900000 4.452632],[0.900000 4.457895],0.015789473684210527
[4.494737 4.584211],[4.494737 4.589474],0.01781007614640097
[2.831579 0.231579],[2.831579 0.236842],0.02631578947368421
[0.331579 3.247368],[0.336842 3.247368],0.021052631578947368
[4.936842 4.605263],[4.936842 4.610526],0.021052631578947368
[2.021053 4.500000],[2.026316 4.500000],0.021052631578947368
[3.715789 5.031579],[3.715789 5.036842],0.01621652015833784
[1.736842 5.247368],[1.742105 5.247368],0.005263157894736842
[6.057895 5.026316],[6.057895 5.031579],0.015789473684210527
[0.305263 3.357895],[0.305263 3.363158],0.005263157894736842
[2.000000 5.415789],[2.005263 5.415789],0.02033857079232013
[3.926316 0.600000],[3.926316 0.605263],0.015789473684210527
[1.131579 4.300000],[1.131579 4.305263],0.021052631578947368
[4.700000 4.278947],[4.700000 4.284211],0.009606004052297066
[0.521053 5.142105],[0.521053 5.147368],0.010526315789473684
[5.257895 0.878947],[5.257895 0.884211],0.015789473684210527
[6.263158 6.321053],[6.268421 6.321053],0.01621652015833784
[4.252632 3.252632],[4.252632 3.257895],0.020014608619642077
[4.921053 5.484211],[4.926316 5.484211],0.02201512187562354
[2.021053 3.542105],[2.026316 3.542105],0.013327618690120998
[5.768421 0.900000],[5.773684 0.900000],0.015789473684210527
[2.557895 5.252632],[2.557895 5.257895],0.020653136743640194
[0.731579 2.921053],[0.736842 2.921053],0.011147547309209973
[2.052632 2.168421],[2.057895 2.168421],0.010526315789473684
[2.942105 4.442105],[2.947368 4.442105],0.021052631578947368
[4.857895 0.557895],[4.863158 0.557895],0.01621652015833784
[5.047368 4.715789],[5.052632 4.715789],0.021376593751625424
[5.805263 0.931579],[5.805263 0.936842],0.01781007614640097
[3.200000 2.494737],[3.200000 2.500000],0.01621652015833784
[2.831579 2.010526],[2.831579 2.015789],0.020653136743640194
[1.836842 0.873684],[1.836842 0.878947],0.010526315789473684
[2.984211 1.905263],[2.984211 1.910526],0.013327618690120998
[3.921053 1.689474],[3.926316 1.689474],0.015789473684210527
[4.157895 5.421053],[4.163158 5.421053],0.023537557657892522
[5.978947 6.005263],[5.984211 6.005263],0.018976585660336786
[0.305263 0.563158],[0.305263 0.568421],0.021376593751625424
[3.921053 5.305263],[3.926316 5.305263],0.021052631578947368
[5.315789 0.163158],[5.315789 0.168421],0.021052631578947368
[1.478947 2.278947],[1.484211 2.278947],0.02033857079232013
[2.242105 5.205263],[2.242105 5.210526],0.010526315789473684
[4.631579 2.252632],[4.636842 2.252632],0.021052631578947368
[4.800000 3.063158],[4.800000 3.068421],0.023537557657892522
[1.042105 2.247368],[1.042105 2.252632],0.015789473684210527
[2.442105 1.326316],[2.442105 1.331579],0.01621652015833784
[3.289474 4.842105],[3.294737 4.842105],0.021052631578947368
[3.463158 3.584211],[3.468421 3.584211],0.021052631578947368
[3.721053 4.378947],[3.726316 4.378947],0.006353193585192355
[2.826316 4.978947],[2.831579 4.978947],0.006353193585192355
[5.105263 2.963158],[5.105263 2.968421],0.02033857079232013
[0.936842 5.457895],[0.942105 5.457895],0.014886458551295738
